Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,0-4415,0-4415,4415-7001,7001-10449,10449-12878,12878-16796,16796-21132,21132-22908,22908-25520,25520-28602,28602-33330,28602-33330,33330-35994,35994-41323,35994-41323,41323-43805,43805-46574,46574-49238,49238-52765,49238-52765,52765-55508,55508-58199,55508-58199,58199-62431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,0-2064,2064-4990,4990-8961,8961-12070,12070-16511,12070-16511,16511-18758,18758-20691,20691-29338,20691-29338,20691-29338,29338-31245,31245-33544,33544-36626,36626-41015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,0-2429,2429-9482,2429-9482,2429-9482,9482-11833,11833-14706,14706-18128,14706-18128,18128-20923,20923-24241,24241-32600,24241-32600,24241-32600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065,0-2351,2351-8542,2351-8542,2351-8542,8542-11729,11729-14707,11729-14707,14707-17554,17554-19722,19722-22125,22125-24607,24607-29152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,0-3866,3866-7941,3866-7941,7941-10266,10266-13218,13218-15647,15647-18573,18573-25365,18573-25365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,0-2299,2299-4467,4467-7262,7262-10318,10318-14341,10318-14341,14341-17841,17841-22203,17841-22203,22203-24502,24502-27088,27088-31163,31163-33619,33619-35813,35813-38321,38321-41168,41168-42657,42657-45191,45191-50233,45191-50233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,0-3056,0-3056,3056-5303,5303-8203,8203-12174,8203-12174,12174-14708,12174-14708,14708-16955,16955-20586,20586-23407,23407-26934,26934-35319,26934-35319,26934-35319,26934-35319,26934-35319,35319-39864,35319-39864,39864-42137,42137-45089,45089-46996,46996-51123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,0-3056,0-3056,3056-5459,5459-8123,8123-11963,8123-11963,11963-15672,11963-15672,15672-17919,17919-21289,21289-23901,23901-27480,27480-34481,27480-34481,34481-39314,34481-39314,39314-46001,39314-46001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,0-3161,0-3161,3161-5721,5721-8621,8621-12592,8621-12592,12592-15335,12592-15335,15335-19802,15335-19802,19802-22858,22858-25705,25705-29153,29153-35135,29153-35135,29153-35135,35135-39445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,0-2116,2116-5695,5695-8490,8490-11834,11834-20716,11834-20716,11834-20716,11834-20716,11834-20716,20716-25496,20716-25496,20716-25496,25496-30851,25496-30851,25496-30851,30851-33071,33071-36728,33071-36728,36728-39053,39053-41561,41561-45061,45061-48483,45061-48483,48483-52401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,0-1959,1959-4571,4571-10318,4571-10318,10318-12774,12774-15621,15621-19618,15621-19618,19618-22700,22700-26514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,0-4571,0-4571,4571-8150,8150-11023,11023-16274,11023-16274,11023-16274,16274-19487,19487-22909,22909-25991,25991-29857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,0-2691,2691-4859,4859-10815,4859-10815,4859-10815,10815-13401,13401-15778,15778-19644,19644-21420,21420-23484,23484-25704,25704-28708,28708-32652,28708-32652,32652-34951,34951-38295,38295-43180,38295-43180,43180-46106,46106-48797,48797-51357,51357-54622,54622-57443,57443-61596,57443-61596,61596-64496,64496-67134,67134-69433,69433-71993,71993-73586,73586-78393,73586-78393,78393-81658,78393-81658,81658-84662,84662-87771,87771-92003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,0-3814,3814-7523,3814-7523,7523-9613,9613-11598,11598-13766,13766-18259,13766-18259,18259-21577,21577-25417,21577-25417,25417-27977,27977-32418,32418-36180,32418-36180,36180-37956,37956-40803,40803-42762,42762-46419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,0-2508,2508-6165,2508-6165,6165-9169,9169-11598,11598-14863,14863-17475,17475-19800,19800-22673,22673-24684,24684-29229,24684-29229,29229-35551,29229-35551,35551-39208,35551-39208,39208-41846,41846-49761,41846-49761,49761-52373,52373-54933,54933-59792,54933-59792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,0-2586,2586-6217,6217-10762,6217-10762,10762-13531,13531-15569,15569-19017,19017-21394,21394-25992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,0-2691,2691-6949,6949-12905,6949-12905,6949-12905,12905-15569,15569-18860,18860-21681,18860-21681,21681-24241,24241-28316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,0-5120,0-5120,5120-10344,5120-10344,10344-13505,13505-16091,16091-19461,19461-21838,21838-23719,23719-27846,23719-27846,27846-30772,30772-32757,32757-37198,32757-37198,37198-43206,37198-43206,37198-43206,43206-45583,45583-48404,48404-55039,48404-55039,48404-55039,55039-59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,0-2795,2795-9273,2795-9273,2795-9273,9273-11598,11598-17031,11598-17031,17031-18494,18494-21707,21707-26043,21707-26043,26043-33932,26043-33932,26043-33932,26043-33932,33932-36361,36361-37824,37824-40985,40985-44459,40985-44459,44459-46444,46444-50937,46444-50937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,0-2325,2325-6217,2325-6217,6217-11729,6217-11729,11729-13845,13845-18573,18573-22805,22805-28265,22805-28265,28265-29858,29858-32392,32392-36545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,0-3370,3370-6296,6296-11677,6296-11677,11677-15621,15621-20584,15621-20584,20584-22386,22386-25024,25024-28760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,0-1985,1985-5041,5041-8463,8463-9612,9612-14419,14419-18729,14419-18729,18729-22203,18729-22203,22203-26801,26801-32914,26801-32914,26801-32914,32914-36467,36467-40699,40699-43546,43546-47360,47360-53708,47360-53708,47360-53708,53708-58436,53708-58436,58436-61100,61100-64052,64052-66299,66299-71106,66299-71106,71106-77558,71106-77558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,0-1933,1933-4728,4728-8255,8255-12513,8255-12513,12513-16849,16849-21133,16849-21133,21133-28630,21133-28630,21133-28630,28630-31608,31608-34586,34586-38478,38478-42370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,0-2821,2821-6139,6139-10371,10371-13871,13871-17920,17920-21708,21708-30929,21708-30929,21708-30929,21708-30929,30929-34926,34926-40595,34926-40595,40595-44017,44017-48588,44017-48588,48588-51200,51200-54073,54073-56372,56372-59350,59350-62171,62171-65149,65149-68885,68885-73483,68885-73483,73483-77062,77062-79126,79126-81268,81268-85056,85056-89053,85056-89053,89053-91926,91926-94878,94878-97203,97203-103760,97203-103760,97203-103760,97203-103760,103760-108567,103760-108567,108567-111832,111832-113791,113791-118624,113791-118624,118624-121994,118624-121994,121994-125076,125076-128028,128028-131972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,0-10240,0-10240,0-10240,0-10240,0-10240,10240-13793,13793-17894,13793-17894,17894-22439,17894-22439,22439-25365,22439-25365,25365-29466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,0-2273,2273-5486,5486-9979,5486-9979,9979-13793,13793-18103,13793-18103,18103-20872,20872-24320,24320-27481,24320-27481,27481-32758,27481-32758,32758-36807,36807-40229,36807-40229,40229-43756,43756-48014,48014-52350,48014-52350,52350-55824,52350-55824,55824-62067,55824-62067,62067-67709,62067-67709,67709-74240,67709-74240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,0-2873,2873-6243,6243-8045,8045-12982,8045-12982,8045-12982,12982-15855,15855-20531,15855-20531,20531-24580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,0-3344,3344-7367,7367-11129,7367-11129,11129-15361,11129-15361,15361-19593,15361-19593,19593-22127,22127-25000,25000-28527,25000-28527,28527-32837,32837-36364,32837-36364,36364-38584,38584-41614,41614-46917,41614-46917,46917-49895,49895-52507,52507-54283,54283-58306,54283-58306,58306-63060,58306-63060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,0-3709,0-3709,3709-5877,5877-10004,10004-13948,10004-13948,13948-16168,16168-21262,16168-21262,21262-23900,23900-29203,23900-29203,23900-29203,29203-33226,29203-33226,33226-35577,35577-40593,35577-40593,40593-42186,42186-44981,44981-49213,49213-51851,51851-54254,54254-56370,56370-60706,60706-66218,60706-66218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,0-2612,2612-5094,5094-7184,7184-9770,9770-12304,12304-17058,12304-17058,17058-19618,19618-22518,22518-24974,24974-28396,28396-31139,31139-34953,34953-37304,37304-41248,41248-44853,41248-44853,44853-49059,44853-49059,49059-51541,51541-53082,53082-55355,55355-58908,58908-64341,58908-64341,64341-67685,64341-67685,67685-75078,67685-75078,67685-75078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,0-2377,2377-8281,2377-8281,8281-12539,12539-18782,12539-18782,12539-18782,18782-22857,18782-22857,22857-25939,25939-29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,0-1855,1855-4755,4755-8229,8229-11520,11520-15882,11520-15882,15882-17998,17998-19931,19931-28160,19931-28160,19931-28160,28160-30563,30563-33489,33489-36937,36937-40385,40385-42370,42370-46994,42370-46994,46994-49763,49763-51252,51252-53995,53995-58906,53995-58906,58906-62197,62197-69355,62197-69355,62197-69355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,0-1515,1515-5042,1515-5042,5042-11050,5042-11050,5042-11050,11050-15151,11050-15151,15151-23014,15151-23014,15151-23014,15151-23014,23014-28500,23014-28500,28500-32706,28500-32706,32706-36990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,0-5486,0-5486,5486-9326,5486-9326,9326-12017,12017-14734,14734-17764,17764-25966,17764-25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,0-4519,4519-8725,4519-8725,8725-10998,10998-17215,10998-17215,10998-17215,17215-19932,19932-22388,22388-25131,25131-26698,26698-30303,30303-32837,32837-37513,32837-37513,32837-37513,37513-41379,41379-45010,41379-45010,45010-48981,45010-48981,48981-52011,52011-56295,52011-56295,56295-60161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,0-1463,1463-5094,1463-5094,5094-10214,5094-10214,10214-14054,14054-17293,17293-19696,19696-22543,22543-26487,22543-26487,26487-30771,26487-30771,30771-33018,33018-35552,35552-40228,35552-40228,40228-44590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,0-3448,0-3448,3448-8281,3448-8281,8281-13610,13610-16954,16954-20428,20428-23589,23589-28108,23589-28108,28108-34874,28108-34874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,0-2351,2351-6191,6191-8960,8960-15151,8960-15151,8960-15151,8960-15151,15151-19644,19644-24451,19644-24451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,0-3527,3527-6609,6609-11833,6609-11833,11833-16326,11833-16326,16326-17841,17841-20714,20714-24606,20714-24606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,0-3109,3109-6766,6766-10841,6766-10841,10841-15021,10841-15021,15021-19592,15021-19592,19592-21969,21969-24268,24268-29937,24268-29937,24268-29937,29937-33829,29937-33829,33829-37956,33829-37956,37956-41012,41012-44068,44068-47699,47699-52532,47699-52532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,0-2926,2926-4964,4964-9300,4964-9300,9300-11442,11442-13532,13532-17241,17241-20350,17241-20350,20350-23432,23432-29440,23432-29440,29440-31451,31451-38034,31451-38034,31451-38034,38034-40098,40098-43468,43468-47204,43468-47204,47204-49895,49895-52638,52638-56295,56295-60762,56295-60762,60762-62382,62382-64498,64498-66875,66875-69853,69853-72935,72935-74999,74999-80641,74999-80641,74999-80641,80641-84690,84690-87328,87328-89026,89026-92396,92396-94434,94434-97543,94434-97543,97543-99711,99711-108044,99711-108044,99711-108044,108044-110108,110108-111623,111623-113661,113661-115751,115751-119382,115751-119382,119382-123379,123379-125443,125443-128290,128290-132417,128290-132417,132417-134559,134559-136832,136832-140646,136832-140646,140646-143284,140646-143284,143284-146628,143284-146628,146628-148169,148169-151617,151617-154438,154438-156240,156240-158225,158225-160184,160184-163528,163528-166663,163528-166663,166663-170634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,0-1933,1933-5198,5198-7732,7732-10370,10370-14706,10370-14706,14706-18833,14706-18833,18833-22281,18833-22281,22281-25442,25442-29099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,0-4885,0-4885,4885-7445,7445-11102,7445-11102,11102-13975,13975-18468,13975-18468,18468-21080,21080-25312,25312-28185,28185-31346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,0-4885,0-4885,0-4885,4885-7079,7079-8699,8699-12539,8699-12539,12539-16771,12539-16771,16771-20768,16771-20768,20768-24530,20768-24530,24530-29232,24530-29232,24530-29232,29232-32027,32027-34744,34744-38088,38088-42633,38088-42633,42633-44827,44827-49816,44827-49816,44827-49816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,0-3344,0-3344,3344-4911,4911-7367,7367-9117,9117-12670,12670-14525,14525-18992,14525-18992,18992-20324,20324-22884,22884-25810,22884-25810,25810-29937,25810-29937,29937-32105,32105-34038,34038-39445,34038-39445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,0-2926,0-2926,2926-6897,2926-6897,6897-8908,8908-13506,8908-13506,13506-15857,15857-17921,17921-24217,17921-24217,17921-24217,17921-24217,24217-32132,24217-32132,24217-32132,24217-32132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,0-1332,1332-4414,4414-8385,4414-8385,8385-11598,11598-13505,13505-15673,15673-18024,18024-20819,18024-20819,20819-26932,20819-26932,20819-26932,26932-30276,30276-32314,32314-34508,34508-40281,34508-40281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,0-2116,2116-5799,2116-5799,5799-9796,5799-9796,9796-11572,11572-18050,11572-18050,11572-18050,18050-20897,20897-23666,23666-27114,23666-27114,27114-29987,29987-36387,29987-36387,29987-36387,36387-38085,38085-40932,40932-44067,40932-44067,44067-46261,46261-48873,48873-51276,51276-55038,51276-55038,55038-57415,57415-61386,57415-61386,61386-63476,63476-65305,65305-70347,65305-70347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,0-4310,0-4310,4310-8829,4310-8829,8829-10945,10945-13818,13818-18781,13818-18781,18781-23535,18781-23535,23535-27506,23535-27506,27506-31764,27506-31764,31764-33906,33906-36806,36806-39967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,0-2952,2952-8830,2952-8830,2952-8830,8830-11077,11077-14630,11077-14630,14630-16746,16746-18183,18183-20769,20769-22728,22728-25837,25837-27221,27221-29494,29494-32916,32916-37017,32916-37017,37017-41197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,0-2090,2090-3788,3788-6270,6270-8961,8961-11495,11495-13611,13611-18156,13611-18156,18156-20585,20585-23302,23302-25627,25627-28866,25627-28866,28866-31478,31478-33986,31478-33986,33986-37722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,0-4415,0-4415,4415-9065,4415-9065,9065-11207,11207-18156,11207-18156,11207-18156,18156-22283,18156-22283,22283-24477,24477-28474,24477-28474,28474-33646,28474-33646,33646-36284,36284-39993,36284-39993,39993-43833,39993-43833,43833-45609,45609-47908,47908-50677,50677-53133,53133-55562,55562-59742,55562-59742,59742-62093,62093-64104,64104-66142,66142-70322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,0-1829,1829-4076,4076-9170,4076-9170,9170-13323,9170-13323,13323-16745,13323-16745,16745-19801,16745-19801,19801-22126,22126-23876,23876-26906,26906-30276,30276-33411,30276-33411,33411-35318,35318-39968,35318-39968,39968-42084,42084-46812,46812-48641,48641-51567,48641-51567,51567-55538,51567-55538,55538-58882,55538-58882,58882-61468,61468-64916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,0-4807,0-4807,4807-7471,7471-10371,10371-12853,12853-15883,15883-19958,15883-19958,19958-24007,19958-24007,24007-26698,26698-30016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,0-5303,0-5303,0-5303,5303-7863,7863-10893,10893-13688,10893-13688,13688-15621,15621-19565,15621-19565,19565-21759,21759-24998,21759-24998,24998-28890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,0-4833,0-4833,4833-7184,7184-9561,9561-11651,11651-17502,11651-17502,17502-19984,19984-22100,22100-26959,22100-26959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,0-4389,0-4389,4389-8412,4389-8412,8412-10789,10789-15204,10789-15204,15204-16536,16536-19383,19383-21342,21342-23980,23980-27637,23980-27637,27637-33018,27637-33018,27637-33018,33018-35186,35186-37850,37850-40201,40201-41690,41690-47123,41690-47123,47123-52609,47123-52609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,0-2900,2900-6479,6479-9170,9170-14525,9170-14525,14525-17895,14525-17895,17895-19776,19776-25157,19776-25157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,0-3997,0-3997,3997-8830,3997-8830,8830-13036,8830-13036,13036-15544,15544-18574,18574-21212,21212-22623,22623-25470,25470-28552,25470-28552,28552-31425,28552-31425,31425-35474,31425-35474,35474-42370,35474-42370,35474-42370,42370-46053,46053-49162,46053-49162,49162-51670,49162-51670,51670-54779,51670-54779,54779-62799,54779-62799,54779-62799,54779-62799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,0-2978,2978-8438,2978-8438,8438-11991,11991-14055,14055-17268,17268-20716,20716-23616,23616-25105,25105-28736,25105-28736,28736-30721,30721-34796,34796-39394,34796-39394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
